Date,Gear,Effort,Sockeye (Kept),Sockeye (Released),Coho (Kept),Coho (Released),Pink (Kept),Pink (Released),Chum (Kept),Chum (Released),Chinook (Kept),Chinook (Released),Steelhead (Kept),Steelhead (Released)
2025-06-10,Seine,,,,,,,,,,,,,
2025-06-11,Seine,,,,,,,,,,,,,
2025-06-12,Seine,,,,,,,,,,,,,
2025-06-13,Seine,,,,,,,,,,,,,
2025-06-14,Seine,,,,,,,,,,,,,
2025-06-15,Seine,,,,,,,,,,,,,
2025-06-16,Seine,,,,,,,,,,,,,
2025-06-17,Seine,,,,,,,,,,,,,
2025-06-18,Seine,,,,,,,,,,,,,
2025-06-19,Seine,,,,,,,,,,,,,
2025-06-20,Seine,,,,,,,,,,,,,
2025-06-21,Seine,,,,,,,,,,,,,
2025-06-22,Seine,,,,,,,,,,,,,
2025-06-23,Seine,,,,,,,,,,,,,
2025-06-24,Seine,,,,,,,,,,,,,
2025-06-25,Seine,,,,,,,,,,,,,
2025-06-26,Seine,,,,,,,,,,,,,
2025-06-27,Seine,,,,,,,,,,,,,
2025-06-28,Seine,,,,,,,,,,,,,
2025-06-29,Seine,,,,,,,,,,,,,
2025-06-30,Seine,,,,,,,,,,,,,
2025-07-01,Seine,,,,,,,,,,,,,
2025-07-02,Seine,,,,,,,,,,,,,
2025-07-03,Seine,,,,,,,,,,,,,
2025-07-04,Seine,,,,,,,,,,,,,
2025-07-05,Seine,,,,,,,,,,,,,
2025-07-06,Seine,,,,,,,,,,,,,
2025-07-07,Seine,,,,,,,,,,,,,
2025-07-08,Seine,,,,,,,,,,,,,
2025-07-09,Seine,,,,,,,,,,,,,
2025-07-10,Seine,,,,,,,,,,,,,
2025-07-11,Seine,,,,,,,,,,,,,
2025-07-12,Seine,,,,,,,,,,,,,
2025-07-13,Seine,,,,,,,,,,,,,
2025-07-14,Seine,,,,,,,,,,,,,
2025-07-15,Seine,,,,,,,,,,,,,
2025-07-16,Seine,,,,,,,,,,,,,
2025-07-17,Seine,,,,,,,,,,,,,
2025-07-18,Seine,,,,,,,,,,,,,
2025-07-19,Seine,,,,,,,,,,,,,
2025-07-20,Seine,,,,,,,,,,,,,
2025-07-21,Seine,,,,,,,,,,,,,
2025-07-22,Seine,,,,,,,,,,,,,
2025-07-23,Seine,7,1815,0,0,25,20392,0,0,24,0,39,0,10
2025-07-24,Seine,6,6047,0,0,67,57707,0,0,203,0,53,0,6
2025-07-25,Seine,5,2529,0,0,51,28019,0,0,114,0,29,0,6
2025-07-26,Seine,5,1691,0,0,29,22190,0,0,58,0,16,0,17
2025-07-27,Seine,5,3584,0,0,84,30500,0,0,141,0,64,0,35
2025-07-28,Seine,,,,,,,,,,,,,
2025-07-29,Seine,,,,,,,,,,,,,
2025-07-30,Seine,,,,,,,,,,,,,
2025-07-31,Seine,,,,,,,,,,,,,
2025-08-01,Seine,,,,,,,,,,,,,
2025-08-02,Seine,,,,,,,,,,,,,
2025-08-03,Seine,,,,,,,,,,,,,
2025-08-04,Seine,7,2660,0,0,425,49800,0,0,4575,0,44,0,15
2025-08-05,Seine,5,1440,0,0,300,22350,0,0,1925,0,14,0,7
2025-08-06,Seine,,,,,,,,,,,,,
2025-08-07,Seine,,,,,,,,,,,,,
2025-08-08,Seine,,,,,,,,,,,,,
2025-08-09,Seine,,,,,,,,,,,,,
2025-08-10,Seine,,,,,,,,,,,,,
2025-08-11,Seine,,,,,,,,,,,,,
2025-08-12,Seine,,,,,,,,,,,,,
2025-08-13,Seine,,,,,,,,,,,,,
2025-08-14,Seine,,,,,,,,,,,,,
2025-08-15,Seine,,,,,,,,,,,,,
2025-08-16,Seine,,,,,,,,,,,,,
2025-08-17,Seine,,,,,,,,,,,,,
2025-08-18,Seine,,,,,,,,,,,,,
2025-08-19,Seine,,,,,,,,,,,,,
2025-08-20,Seine,,,,,,,,,,,,,
2025-08-21,Seine,,,,,,,,,,,,,
2025-08-22,Seine,,,,,,,,,,,,,
2025-08-23,Seine,,,,,,,,,,,,,
2025-08-24,Seine,,,,,,,,,,,,,
2025-08-25,Seine,,,,,,,,,,,,,
2025-08-26,Seine,,,,,,,,,,,,,
2025-08-27,Seine,,,,,,,,,,,,,
2025-08-28,Seine,,,,,,,,,,,,,
2025-08-29,Seine,,,,,,,,,,,,,
2025-08-30,Seine,,,,,,,,,,,,,
2025-08-31,Seine,,,,,,,,,,,,,
2025-09-01,Seine,,,,,,,,,,,,,
2025-09-02,Seine,,,,,,,,,,,,,
2025-09-03,Seine,,,,,,,,,,,,,
2025-09-04,Seine,,,,,,,,,,,,,
2025-09-05,Seine,,,,,,,,,,,,,
2025-09-06,Seine,,,,,,,,,,,,,
2025-09-07,Seine,,,,,,,,,,,,,
2025-09-08,Seine,,,,,,,,,,,,,
2025-09-09,Seine,,,,,,,,,,,,,
2025-09-10,Seine,,,,,,,,,,,,,
2025-09-11,Seine,,,,,,,,,,,,,
2025-09-12,Seine,,,,,,,,,,,,,
2025-09-13,Seine,,,,,,,,,,,,,
2025-09-14,Seine,,,,,,,,,,,,,
2025-09-15,Seine,,,,,,,,,,,,,
2025-09-16,Seine,,,,,,,,,,,,,
2025-09-17,Seine,,,,,,,,,,,,,
2025-09-18,Seine,,,,,,,,,,,,,
2025-09-19,Seine,,,,,,,,,,,,,
2025-09-20,Seine,,,,,,,,,,,,,
2025-09-21,Seine,,,,,,,,,,,,,
2025-09-22,Seine,,,,,,,,,,,,,
